,name,stad,citizen,religious,experience,sweden,poland,iraq,somalia,woman,skilledjob,invited,city1,city2,city3,city4,city5,city6,city7,immigrant,time
1,Sarah Amari,Stockholm,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.200455393
2,Ahmed Amari,Stockholm,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.200455393
3,Awa Zakaria,Stockholm,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.200455393
4,Ahmed Amari,Stockholm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.171450351
5,Khalid Zakaria,Stockholm,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171450351
6,Malin Svensson,Stockholm,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.171450351
7,Khalid Zakaria,Stockholm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171450351
8,Sarah Amari,Stockholm,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.171450351
9,Antoni Kowalski,Stockholm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.171450351
10,Julia Kowalski,Stockholm,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171450351
11,Julia Kowalski,Stockholm,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394
12,Awa Zakaria,Stockholm,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.172278394
13,Khalid Zakaria,Stockholm,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394
14,Malin Svensson,Stockholm,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.172278394
15,Antoni Kowalski,Stockholm,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394
16,Erik Svensson,Stockholm,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.172278394
17,Erik Svensson,Stockholm,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172278394
18,Julia Kowalski,Stockholm,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394
